GROUP_DATE,INCIDENT_DATETIME,INITIAL_SEVERITY_LEVEL_CODE
2016/08/06,4051,4.201431745248087
2016/08/07,3834,4.250130412102243
2016/08/08,4151,4.244519392917369
2016/08/09,3965,4.309709962168979
2016/08/10,4033,4.271014133399454
2016/08/11,4319,4.2475109979161845
2016/08/12,4286,4.192020531964536
2016/08/13,4475,4.137206703910614
2016/08/14,4295,4.152968568102445
2016/08/15,4363,4.242493696997479
2016/08/16,4179,4.323283082077052
2016/08/17,4026,4.294336810730253
2016/08/18,4024,4.308151093439363
2016/08/19,4250,4.247294117647058
2016/08/20,4062,4.162235352043329
2016/08/21,3909,4.171143514965464
2016/08/22,3831,4.301487862176978
2016/08/23,3870,4.32015503875969
2016/08/24,3889,4.282077654924145
2016/08/25,3980,4.334170854271357
2016/08/26,4174,4.20723526593196
2016/08/27,3867,4.184122058443237
2016/08/28,3812,4.226128016789087
2016/08/29,4036,4.244053518334985
2016/08/30,3767,4.310326519777011
2016/08/31,3990,4.292731829573935
2016/09/01,3954,4.276934749620637
2016/09/02,4005,4.191011235955056
2016/09/03,3850,4.178181818181818
2016/09/04,3689,4.159392789373814
2016/09/05,3812,4.240818467995803
2016/09/06,3845,4.267100130039012
2016/09/07,3954,4.267577137076378
2016/09/08,4169,4.221396018229791
2016/09/09,4330,4.237644341801386
2016/09/10,4257,4.19661733615222
2016/09/11,3896,4.208162217659138
2016/09/12,3963,4.2687358062074185
2016/09/13,4154,4.282859894077997
2016/09/14,4088,4.305772994129159
2016/09/15,3898,4.295792714212417
2016/09/16,4010,4.222443890274314
2016/09/17,3943,4.183362921633274
2016/09/18,3833,4.243673362901122
2016/09/19,3938,4.310055865921788
2016/09/20,4228,4.236754966887418
2016/09/21,4110,4.295133819951338
2016/09/22,4167,4.275497960163187
2016/09/23,4361,4.25154781013529
2016/09/24,3813,4.205874639391555
2016/09/25,3787,4.1584367573277
2016/09/26,3977,4.202665325622329
2016/09/27,3952,4.228997975708502
2016/09/28,3726,4.2321524422973695
2016/09/29,3632,4.26238986784141
2016/09/30,3887,4.220221250321584
2016/10/01,3704,4.1968142548596115
2016/10/02,3710,4.174393530997304
2016/10/03,3842,4.197813638729828
2016/10/04,3656,4.227571115973742
2016/10/05,4001,4.219945013746563
2016/10/06,3983,4.2066281697213155
2016/10/07,4127,4.147080203537679
2016/10/08,3809,4.211079023365713
2016/10/09,3447,4.206266318537859
2016/10/10,3749,4.186716457722059
2016/10/11,4032,4.213293650793651
2016/10/12,3806,4.206516027325276
2016/10/13,4097,4.202099096900171
2016/10/14,3991,4.203207216236533
2016/10/15,3750,4.168533333333333
2016/10/16,3751,4.158624366835511
2016/10/17,4344,4.254143646408839
2016/10/18,4169,4.253058287359079
2016/10/19,4135,4.24981862152358
2016/10/20,3978,4.2596782302664655
2016/10/21,4211,4.22322488720019
2016/10/22,3579,4.240290583962
2016/10/23,3605,4.191678224687934
2016/10/24,3913,4.255813953488372
2016/10/25,3613,4.258510932742873
2016/10/26,3706,4.175391257420399
2016/10/27,3748,4.309498399146212
2016/10/28,3873,4.210947585850762
2016/10/29,3713,4.154861298141665
2016/10/30,4064,4.1515748031496065
2016/10/31,3743,4.245792145337965
2016/11/01,3997,4.2249186890167625
2016/11/02,3947,4.274638966303522
2016/11/03,4083,4.239774675483713
2016/11/04,4129,4.20053281666263
2016/11/05,3598,4.218732629238466
2016/11/06,3868,4.276111685625646
2016/11/07,3906,4.225806451612903
2016/11/08,3686,4.212425393380358
2016/11/09,3841,4.245248633168446
2016/11/10,3871,4.220614828209765
2016/11/11,3678,4.190048939641109
2016/11/12,3584,4.174107142857143
2016/11/13,3555,4.2444444444444445
2016/11/14,4070,4.2004914004914005
2016/11/15,3794,4.266473379019504
2016/11/16,3942,4.300355149670218
2016/11/17,3967,4.238467355684397
2016/11/18,4102,4.175524134568503
2016/11/19,3917,4.157773806484554
2016/11/20,3420,4.138888888888889
2016/11/21,3752,4.266257995735607
2016/11/22,3689,4.262401734887503
2016/11/23,3650,4.216986301369863
2016/11/24,3180,4.223584905660378
2016/11/25,3833,4.204278632924602
2016/11/26,3494,4.214653692043503
2016/11/27,3421,4.223034200526162
2016/11/28,3914,4.262902401635156
2016/11/29,3945,4.268694550063372
2016/11/30,3892,4.279547790339158
2016/12/01,4125,4.2610909090909095
2016/12/02,4164,4.2195004803073966
2016/12/03,3732,4.209807073954984
2016/12/04,3512,4.188211845102506
2016/12/05,4145,4.282026537997587
2016/12/06,4051,4.265613428783016
2016/12/07,4078,4.2302599313388916
2016/12/08,4100,4.31609756097561
2016/12/09,3932,4.290437436419126
2016/12/10,3786,4.201267828843106
2016/12/11,3571,4.147297675721086
2016/12/12,4076,4.22252208047105
2016/12/13,4098,4.268911664226452
2016/12/14,4115,4.267071688942892
2016/12/15,4145,4.283715319662243
2016/12/16,4121,4.314486775054599
2016/12/17,3928,4.22225050916497
2016/12/18,3969,4.165532879818594
2016/12/19,4194,4.236289938006676
2016/12/20,4044,4.286350148367952
2016/12/21,4086,4.217572197748409
2016/12/22,4180,4.255023923444976
2016/12/23,4362,4.182255845942229
2016/12/24,4024,4.200298210735586
2016/12/25,3582,4.193746510329425
2016/12/26,3940,4.210406091370558
2016/12/27,4315,4.168945538818076
2016/12/28,3987,4.219463255580637
2016/12/29,3951,4.219691217413313
2016/12/30,3941,4.233189545800558
2016/12/31,3871,4.1500904159132
2017/01/01,4928,4.19622564935065
2017/01/02,3685,4.181818181818182
2017/01/03,4302,4.205485820548582
2017/01/04,4450,4.290337078651685
2017/01/05,3957,4.29618397776093
2017/01/06,4097,4.317305345374664
2017/01/07,3948,4.334853090172239
2017/01/08,3634,4.283984589983489
2017/01/09,4258,4.256693283231564
2017/01/10,4152,4.270472061657033
2017/01/11,4310,4.251972157772622
2017/01/12,4407,4.294985250737463
2017/01/13,4073,4.260495948931991
2017/01/14,3663,4.177996177996178
2017/01/15,3627,4.228839261097326
2017/01/16,3743,4.209724819663371
2017/01/17,4019,4.238616571286389
2017/01/18,3845,4.300130039011703
2017/01/19,4057,4.183386738969682
2017/01/20,4113,4.238268903476781
2017/01/21,3874,4.185854414042334
2017/01/22,3729,4.27219093590775
2017/01/23,4106,4.3037018996590355
2017/01/24,3863,4.290447838467513
2017/01/25,4051,4.239200197482103
2017/01/26,4054,4.331771090281204
2017/01/27,3878,4.2612171222279525
2017/01/28,3872,4.216942148760331
2017/01/29,3523,4.189043428895827
2017/01/30,3981,4.219542828435067
2017/01/31,3702,4.25472717450027
2017/02/01,3932,4.2438962360122074
2017/02/02,3879,4.248259860788863
2017/02/03,3990,4.276691729323308
2017/02/04,3744,4.208867521367521
2017/02/05,3773,4.2682215743440235
2017/02/06,4153,4.3168793643149534
2017/02/07,4009,4.2644050885507605
2017/02/08,4315,4.215063731170336
2017/02/09,3368,4.298396674584323
2017/02/10,4122,4.3432799611838915
2017/02/11,4015,4.259028642590287
2017/02/12,3590,4.213091922005571
2017/02/13,4058,4.313701330704781
2017/02/14,4025,4.275776397515528
2017/02/15,4112,4.298151750972763
2017/02/16,3707,4.243862961963853
2017/02/17,3893,4.243000256871308
2017/02/18,3834,4.228482003129891
2017/02/19,3834,4.246739697443923
2017/02/20,3663,4.253071253071253
2017/02/21,3628,4.278114663726571
2017/02/22,3626,4.264202978488693
2017/02/23,3695,4.264952638700947
2017/02/24,4064,4.262795275590551
2017/02/25,3794,4.2374802319451765
2017/02/26,3376,4.236078199052133
2017/02/27,3849,4.310730059755781
2017/02/28,3774,4.3052464228934815
2017/03/01,3961,4.296389800555415
2017/03/02,3828,4.295715778474399
2017/03/03,3858,4.255572835666149
2017/03/04,3523,4.221969912006813
2017/03/05,3361,4.239214519488248
2017/03/06,3860,4.308031088082902
2017/03/07,3801,4.304393580636675
2017/03/08,3805,4.279369250985545
2017/03/09,3946,4.272934617334009
2017/03/10,3669,4.316980103570455
2017/03/11,3423,4.231083844580777
2017/03/12,3288,4.179136253041363
2017/03/13,4036,4.260901883052528
2017/03/14,3180,4.318867924528302
2017/03/15,4224,4.405776515151516
2017/03/16,4247,4.35530963032729
2017/03/17,4406,4.292328642759873
2017/03/18,3813,4.2145292420666145
2017/03/19,3700,4.233243243243243
2017/03/20,4159,4.2433277230103394
2017/03/21,3991,4.335003758456527
2017/03/22,3840,4.301822916666667
2017/03/23,3863,4.361636034170334
2017/03/24,3947,4.305548517861667
2017/03/25,3764,4.241498405951116
2017/03/26,3485,4.230416068866571
2017/03/27,4085,4.262913096695226
2017/03/28,3713,4.328575276057097
2017/03/29,3878,4.2872614749871065
2017/03/30,3919,4.295993875988772
2017/03/31,3770,4.312732095490716
2017/04/01,3613,4.259341267644617
2017/04/02,3841,4.173392345743296
2017/04/03,4269,4.181307097680956
2017/04/04,4000,4.31
2017/04/05,4175,4.237844311377246
2017/04/06,3946,4.301064368981247
2017/04/07,4173,4.291876347951114
2017/04/08,3709,4.215691561067673
2017/04/09,3755,4.139547270306259
2017/04/10,4048,4.242835968379446
2017/04/11,3965,4.322320302648172
2017/04/12,3831,4.269903419472723
2017/04/13,3793,4.251252306881097
2017/04/14,3781,4.289870404654853
2017/04/15,3726,4.212023617820719
2017/04/16,4021,4.247948271574235
2017/04/17,3962,4.307420494699647
2017/04/18,3796,4.350632244467861
2017/04/19,3835,4.342372881355932
2017/04/20,4105,4.335931790499391
2017/04/21,4005,4.349063670411985
2017/04/22,3812,4.246327387198321
2017/04/23,3788,4.24234424498416
2017/04/24,4108,4.262171372930867
2017/04/25,3960,4.2727272727272725
2017/04/26,3915,4.289655172413793
2017/04/27,4115,4.377885783718105
2017/04/28,4350,4.290344827586207
2017/04/29,4360,4.215137614678899
2017/04/30,3678,4.330342577487765
2017/05/01,4346,4.294523699953981
2017/05/02,4409,4.228623270582899
2017/05/03,4114,4.245503159941663
2017/05/04,4205,4.285374554102259
2017/05/05,4046,4.248887790410282
2017/05/06,4031,4.220044653932026
2017/05/07,3758,4.290580095795636
2017/05/08,4225,4.257514792899408
2017/05/09,4050,4.320493827160494
2017/05/10,4094,4.29628724963361
2017/05/11,4081,4.313893653516295
2017/05/12,4278,4.2833099579242635
2017/05/13,3559,4.241640910368081
2017/05/14,3675,4.220408163265306
2017/05/15,4364,4.275664527956003
2017/05/16,4120,4.282281553398058
2017/05/17,4529,4.276219916096268
2017/05/18,4836,4.2487593052109185
2017/05/19,4975,4.300904522613065
2017/05/20,4095,4.327472527472527
2017/05/21,3972,4.2497482376636455
2017/05/22,4123,4.30657288382246
2017/05/23,4091,4.362747494500122
2017/05/24,4190,4.310023866348448
2017/05/25,4037,4.313351498637602
2017/05/26,4253,4.232776863390548
2017/05/27,3888,4.221707818930041
2017/05/28,3721,4.248857833915614
